date,total_ratings,overall_avg_total_ratings,30_day_avg_total_ratings,percentile_total_ratings,average_rating,overall_avg_rating,30_day_avg_rating,percentile_average_rating,unique_datasets,narrative_summary
2024-06-22,1,8.76,5.0,0.02,1.0,2.98,2.55,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-06-23,1,8.76,4.93,0.02,1.0,2.98,2.5,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-06-24,6,8.76,5.0,0.4,1.83,2.98,2.42,0.12,5,Yesterday was somewhat active and the vibes were not great
2024-06-25,6,8.76,5.0,0.4,3.17,2.98,2.44,0.58,6,Yesterday was somewhat active and the vibes were decent
2024-06-26,5,8.76,5.07,0.31,3.4,2.98,2.48,0.66,5,Yesterday was low-key and the vibes were solid
2024-06-27,2,8.76,4.97,0.07,5.0,2.98,2.56,0.98,2,Yesterday was dead quiet and the vibes were absolutely stellar
2024-06-28,5,8.76,5.0,0.31,2.4,2.98,2.52,0.28,4,Yesterday was low-key and the vibes were below average
2024-06-29,1,8.76,4.8,0.02,1.0,2.98,2.48,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-06-30,1,8.76,4.7,0.02,5.0,2.98,2.55,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-07-01,2,8.76,4.67,0.07,1.0,2.98,2.5,0.02,2,Yesterday was dead quiet and the vibes were rock bottom
2024-07-02,1,8.76,4.57,0.02,1.0,2.98,2.43,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-07-03,5,8.76,4.7,0.31,3.8,2.98,2.52,0.81,3,Yesterday was low-key and the vibes were top notch
2024-07-04,2,8.76,4.5,0.07,5.0,2.98,2.63,0.98,2,Yesterday was dead quiet and the vibes were absolutely stellar
2024-07-06,3,8.76,4.4,0.14,1.0,2.98,2.61,0.02,2,Yesterday was very quiet and the vibes were rock bottom
2024-07-07,1,8.76,4.27,0.02,1.0,2.98,2.53,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-07-08,3,8.76,4.17,0.14,3.67,2.98,2.55,0.77,3,Yesterday was very quiet and the vibes were great
2024-07-10,1,8.76,3.87,0.02,1.0,2.98,2.51,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-07-11,1,8.76,3.83,0.02,5.0,2.98,2.51,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-07-12,1,8.76,3.77,0.02,1.0,2.98,2.47,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-07-13,1,8.76,3.5,0.02,5.0,2.98,2.57,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-07-14,1,8.76,3.37,0.02,5.0,2.98,2.62,0.98,1,Yesterday was dead quiet and the vibes were absolutely stellar
2024-07-15,5,8.76,3.43,0.31,3.2,2.98,2.61,0.59,4,Yesterday was low-key and the vibes were decent
2024-07-16,4,8.76,2.87,0.22,4.5,2.98,2.71,0.94,3,Yesterday was pretty quiet and the vibes were absolutely stellar
2024-07-17,3,8.76,2.93,0.14,2.0,2.98,2.74,0.15,3,Yesterday was very quiet and the vibes were not great
2024-07-18,6,8.76,3.03,0.4,3.67,2.98,2.78,0.77,6,Yesterday was somewhat active and the vibes were great
2024-07-19,1,8.76,2.97,0.02,1.0,2.98,2.78,0.02,1,Yesterday was dead quiet and the vibes were rock bottom
2024-07-20,5,8.76,3.0,0.31,3.4,2.98,2.8,0.66,4,Yesterday was low-key and the vibes were solid
2024-07-22,2,8.76,2.73,0.07,1.0,2.98,2.72,0.02,2,Yesterday was dead quiet and the vibes were rock bottom
